Date,Stock_Price,Volume,PE_Ratio,EPS,Revenue_Millions,Profit_Margin,Quick_Ratio,Debt_to_Equity,ROE,Market_Cap_Billions,Industry_Growth,Interest_Rate,Inflation_Rate,GDP_Growth
2023-01-01,145.23,2345678,22.5,6.45,12450,0.18,1.2,0.45,0.21,85.6,0.025,0.04,0.028,0.032
2023-01-08,147.89,2134521,22.7,6.45,12450,0.18,1.2,0.45,0.21,86.8,0.025,0.04,0.028,0.032
2023-01-15,150.34,3241678,23.1,6.45,12450,0.18,1.2,0.45,0.21,88.2,0.027,0.04,0.029,0.032
2023-01-22,148.67,2876543,22.8,6.45,12450,0.18,1.2,0.45,0.21,87.2,0.027,0.04,0.029,0.032
2023-01-29,152.45,3021456,23.5,6.45,12450,0.18,1.2,0.45,0.21,89.4,0.028,0.04,0.029,0.032
2023-02-05,155.78,3567891,24.1,6.45,12450,0.18,1.2,0.45,0.21,91.3,0.028,0.04,0.03,0.032
2023-02-12,153.21,2987654,23.7,6.45,12450,0.18,1.2,0.45,0.21,89.8,0.029,0.04,0.03,0.032
2023-02-19,158.45,3245678,24.6,6.45,12450,0.18,1.2,0.45,0.21,92.9,0.029,0.04,0.03,0.032
2023-02-26,162.34,3789012,25.2,6.45,12450,0.18,1.2,0.45,0.21,95.2,0.03,0.04,0.031,0.032
2023-03-05,159.87,3012345,24.8,6.45,12450,0.18,1.2,0.45,0.21,93.7,0.03,0.041,0.031,0.033
2023-03-12,164.56,3456789,25.5,6.45,12450,0.18,1.2,0.45,0.21,96.5,0.031,0.041,0.031,0.033
2023-03-19,168.23,4012345,26.1,6.45,12520,0.185,1.22,0.44,0.215,98.6,0.031,0.041,0.032,0.033
2023-03-26,172.45,4567890,26.7,6.45,12520,0.185,1.22,0.44,0.215,101.1,0.032,0.041,0.032,0.033
2023-04-02,176.78,5012345,27.4,6.45,12520,0.185,1.22,0.44,0.215,103.7,0.032,0.042,0.032,0.034
2023-04-09,173.45,4321098,26.9,6.45,12520,0.185,1.22,0.44,0.215,101.7,0.033,0.042,0.033,0.034
2023-04-16,178.90,4890123,27.7,6.45,12520,0.185,1.22,0.44,0.215,104.9,0.033,0.042,0.033,0.034
2023-04-23,182.34,5234567,28.3,6.45,12520,0.185,1.22,0.44,0.215,106.9,0.034,0.042,0.033,0.034
2023-04-30,185.67,5678901,28.8,6.45,12520,0.185,1.22,0.44,0.215,108.9,0.034,0.043,0.034,0.035
2023-05-07,189.23,6012345,29.3,6.45,12520,0.185,1.22,0.44,0.215,111.0,0.035,0.043,0.034,0.035
2023-05-14,192.45,6456789,29.8,6.45,12520,0.185,1.22,0.44,0.215,112.8,0.035,0.043,0.034,0.035
2023-05-21,195.78,6890123,30.4,6.45,12670,0.19,1.25,0.43,0.22,114.8,0.036,0.043,0.035,0.035
2023-05-28,193.21,6234567,29.9,6.45,12670,0.19,1.25,0.43,0.22,113.3,0.036,0.044,0.035,0.036
2023-06-04,198.45,6678901,30.8,6.45,12670,0.19,1.25,0.43,0.22,116.4,0.037,0.044,0.035,0.036
2023-06-11,201.78,7012345,31.3,6.45,12670,0.19,1.25,0.43,0.22,118.3,0.037,0.044,0.036,0.036
2023-06-18,204.67,7345678,31.7,6.45,12670,0.19,1.25,0.43,0.22,120.0,0.038,0.044,0.036,0.036
2023-06-25,207.89,7678901,32.2,6.45,12670,0.19,1.25,0.43,0.22,121.9,0.038,0.045,0.036,0.037
2023-07-02,210.45,8012345,32.6,6.45,12670,0.19,1.25,0.43,0.22,123.4,0.039,0.045,0.037,0.037
2023-07-09,214.78,8456789,33.3,6.45,12670,0.19,1.25,0.43,0.22,126.0,0.039,0.045,0.037,0.037
2023-07-16,219.23,8890123,34.0,6.45,12850,0.195,1.27,0.42,0.225,128.6,0.04,0.045,0.037,0.037
2023-07-23,215.67,8234567,33.4,6.45,12850,0.195,1.27,0.42,0.225,126.5,0.04,0.046,0.038,0.038
2023-07-30,221.34,8678901,34.3,6.45,12850,0.195,1.27,0.42,0.225,129.8,0.041,0.046,0.038,0.038
2023-08-06,225.78,9012345,35.0,6.45,12850,0.195,1.27,0.42,0.225,132.4,0.041,0.046,0.038,0.038
2023-08-13,230.45,9456789,35.7,6.45,12850,0.195,1.27,0.42,0.225,135.1,0.042,0.046,0.039,0.038
2023-08-20,234.89,9890123,36.4,6.45,12850,0.195,1.27,0.42,0.225,137.8,0.042,0.047,0.039,0.039
2023-08-27,238.56,10234567,37.0,6.45,12850,0.195,1.27,0.42,0.225,139.9,0.043,0.047,0.039,0.039
2023-09-03,235.21,9678901,36.5,6.45,12850,0.195,1.27,0.42,0.225,137.9,0.043,0.047,0.04,0.039
2023-09-10,240.45,10123456,37.3,6.45,13020,0.2,1.3,0.41,0.23,141.0,0.044,0.047,0.04,0.039
2023-09-17,245.78,10567890,38.1,6.45,13020,0.2,1.3,0.41,0.23,144.1,0.044,0.048,0.04,0.04
2023-09-24,250.34,11012345,38.8,6.45,13020,0.2,1.3,0.41,0.23,146.8,0.045,0.048,0.041,0.04
2023-10-01,254.67,11456789,39.5,6.45,13020,0.2,1.3,0.41,0.23,149.4,0.045,0.048,0.041,0.04
2023-10-08,258.23,11890123,40.0,6.45,13020,0.2,1.3,0.41,0.23,151.5,0.046,0.048,0.041,0.04
2023-10-15,255.45,11234567,39.6,6.45,13020,0.2,1.3,0.41,0.23,149.8,0.046,0.049,0.042,0.041
2023-10-22,260.78,11678901,40.4,6.45,13020,0.2,1.3,0.41,0.23,153.0,0.047,0.049,0.042,0.041
2023-10-29,265.34,12123456,41.1,6.45,13020,0.2,1.3,0.41,0.23,155.6,0.047,0.049,0.042,0.041
2023-11-05,269.78,12567890,41.8,6.45,13210,0.205,1.32,0.4,0.235,158.2,0.048,0.049,0.043,0.041
2023-11-12,274.56,13012345,42.6,6.45,13210,0.205,1.32,0.4,0.235,161.0,0.048,0.05,0.043,0.042
2023-11-19,279.23,13456789,43.3,6.45,13210,0.205,1.32,0.4,0.235,163.8,0.049,0.05,0.043,0.042
2023-11-26,275.67,12890123,42.7,6.45,13210,0.205,1.32,0.4,0.235,161.7,0.049,0.05,0.044,0.042
2023-12-03,280.45,13234567,43.5,6.45,13210,0.205,1.32,0.4,0.235,164.5,0.05,0.05,0.044,0.042
2023-12-10,285.78,13678901,44.3,6.45,13210,0.205,1.32,0.4,0.235,167.6,0.05,0.051,0.044,0.043
2023-12-17,290.34,14123456,45.0,6.45,13210,0.205,1.32,0.4,0.235,170.3,0.051,0.051,0.045,0.043
2023-12-24,294.67,14567890,45.7,6.45,13210,0.205,1.32,0.4,0.235,172.8,0.051,0.051,0.045,0.043
2023-12-31,298.23,15012345,46.2,6.45,13420,0.21,1.35,0.39,0.24,174.9,0.052,0.051,0.045,0.043
